Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
0,2018-11-12T19:12:51.547,0,0,0,0,0
1,2018-11-12T19:32:33.138,1465962000,581894100,40046810,4673,243
1,2018-11-12T19:43:47.165,1223401000,447062000,38092140,4491,238
1,2018-11-12T19:48:56.883,1295905000,503722000,37393900,4594,241
1,2018-11-12T19:53:53.979,1296949000,506773500,37119890,4589,241
2,2018-11-12T19:56:03.968,1385292000,546889700,34092060,4802,237
3,2018-11-12T19:56:31.296,1462542000,603504600,35160110,4688,242
3,2018-11-12T19:59:41.705,1215140000,381915100,33685370,4471,237
4,2018-11-12T20:13:26.161,1468420000,537534500,31959360,4640,241
5,2018-11-12T20:14:21.275,1487553000,547221500,31877180,4743,243
6,2018-11-12T20:15:05.671,1522102000,582303700,33160070,4841,243
0,2018-11-12T20:27:23.762,0,0,0,0,0
1,2018-11-12T20:40:43.252,1479844000,537919500,105284300,4918,255
2,2018-11-12T20:41:42.545,1504285000,560877600,106836000,5033,266
3,2018-11-12T20:42:40.698,1510679000,546181100,104084900,4740,274
4,2018-11-12T20:43:48.635,1521594000,536735700,104119100,4782,284
5,2018-11-12T20:44:47.854,1529844000,548651000,105330200,4808,294
6,2018-11-12T20:46:06.448,1541448000,562036700,106875000,4869,302
7,2018-11-12T20:47:03.717,1564606000,555774000,108337900,4901,311
8,2018-11-12T20:48:21.409,1578885000,553025500,104121400,4792,319
9,2018-11-12T20:49:22.696,1584787000,538357800,104161200,4882,328
10,2018-11-12T20:50:24.244,1599439000,545509400,105622000,4927,338
11,2018-11-12T20:51:41.700,1608450000,560574500,107879200,4988,347
12,2018-11-12T20:52:52.666,1617232000,558768100,108577600,5023,356
13,2018-11-12T20:53:50.295,1625268000,558682100,104547700,4866,364
14,2018-11-12T20:54:43.380,1634206000,539975700,104578900,4913,377
15,2018-11-12T20:57:32.615,1642828000,546172900,106498600,4969,384
16,2018-11-12T20:58:31.558,1656922000,562819100,108096200,5074,393
17,2018-11-12T20:59:44.510,1669333000,568004600,109941600,5104,404
18,2018-11-12T21:00:52.979,1679069000,560410600,104570500,4916,413
19,2018-11-12T21:01:47.855,1687720000,554639400,105508700,4953,420
20,2018-11-12T21:02:46.981,1694339000,548286500,106368700,4972,430
21,2018-11-12T21:03:43.507,1709482000,567435300,108299500,5051,442
22,2018-11-12T21:04:40.513,1725272000,572342300,109914000,5126,450
23,2018-11-12T21:05:40.755,1728184000,564813800,104555000,4987,458
24,2018-11-12T21:06:47.205,1737794000,568471600,104574800,5001,466
25,2018-11-12T21:07:59.595,1748804000,572416000,106362400,5098,477
26,2018-11-12T21:08:51.649,1759113000,564949000,108025100,5171,487
27,2018-11-12T21:09:45.526,1766392000,563478500,110245600,5169,494
28,2018-11-12T21:10:37.779,1777664000,569696300,104542400,5050,503
29,2018-11-12T21:11:30.528,1789886000,563449900,104421000,5122,513
30,2018-11-12T21:12:46.183,1780961000,562036700,106563600,5096,510
31,2018-11-12T21:13:45.291,1805844000,577245200,108283600,5206,529
32,2018-11-12T21:14:50.697,1812333000,562683900,110178700,5258,539
33,2018-11-12T21:16:12.837,1812664000,556142600,104832800,4990,534
34,2018-11-12T21:17:52.710,1832796000,577105900,104912200,5127,550
35,2018-11-12T21:18:48.424,1862439000,571596800,106193200,5134,561
36,2018-11-12T21:20:08.130,1865650000,568352800,109834800,5177,568
37,2018-11-12T21:21:21.095,1881227000,585211900,111675500,5247,579
38,2018-11-12T21:22:16.633,1888457000,567144400,105091400,5086,588
39,2018-11-12T21:23:11.765,1905041000,583082000,105987600,5193,601
40,2018-11-12T21:24:16.112,1910649000,578830300,106924000,5170,607
41,2018-11-12T21:25:14.118,1928180000,600981500,0,5286,616
