(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
08-11-18 16:00:00,32268276,3939,152522752,203,738787328,1
08-11-18 16:00:00,32268276,3939,152510464,203,738807808,2
08-11-18 16:00:00,32268276,3939,152731648,202,737738752,3
08-11-18 17:02:00,32268276,3934,152436736,201,736690176,4
08-11-18 17:07:00,32268276,3940,152748032,203,738000896,5
08-11-18 17:12:00,32268276,3921,152698880,201,736681984,6
08-11-18 17:17:00,32268276,3938,152731648,202,736952320,7
08-11-18 17:22:00,32268276,3933,152686592,200,735641600,8
08-11-18 17:27:00,32268276,3939,152420352,202,736952320,9
08-11-18 17:32:00,32268276,3938,152485888,201,736690176,10
08-11-18 17:00:00,32627268,3938,152514560,203,738000896,11
08-11-18 17:00:00,32627268,3932,152719360,201,736690176,12
08-11-18 17:00:00,32627268,3937,152469504,202,737738752,13
08-11-18 17:52:00,32627268,3938,152760320,203,738000896,14
08-11-18 17:00:00,32627268,3937,152768512,203,738000896,15
08-11-18 18:02:00,32627268,3933,152748032,202,736952320,16
08-11-18 18:07:00,32627268,3920,152748032,202,737009664,17
08-11-18 18:12:00,32627268,3938,152465408,203,738066432,18
08-11-18 18:17:00,32627268,3937,152530944,202,737804288,19
08-11-18 18:22:00,32627268,3932,152502272,201,736755712,20
08-11-18 18:27:00,32627268,3937,152526848,202,737804288,21
08-11-18 18:32:00,32627268,3937,152498176,202,737804288,22
08-11-18 18:37:00,32627268,3941,152788992,203,738066432,23
08-11-18 18:42:00,32627268,3936,152752128,201,735969280,24
08-11-18 18:47:00,32627268,3937,152797184,203,738066432,25
08-11-18 18:52:00,32627268,3939,152801280,203,738066432,26
08-11-18 18:57:00,32627268,3938,152473600,202,737804288,27
08-11-18 19:02:00,32627268,3933,152530944,201,736755712,28
08-11-18 19:07:00,32627268,3936,152526848,201,736755712,29
08-11-18 19:12:00,32627268,3936,152526848,201,736755712,30
08-11-18 19:17:00,32627268,3936,152498176,201,736755712,31
08-11-18 19:22:00,32627268,3932,152768512,201,735969280,32
08-11-18 19:27:00,32627268,3937,152793088,202,737017856,33
08-11-18 19:32:00,32627268,3937,152788992,202,737017856,34
08-11-18 19:37:00,32855964,3957,143171584,201,726982656,35
08-11-18 19:42:00,32855964,4046,144363520,216,743505920,36
08-11-18 19:47:00,32855964,4047,151269376,215,749404160,37
08-11-18 19:52:00,32855964,4047,151912448,214,748355584,38
08-11-18 19:57:00,32855964,4040,151707648,205,738918400,39
08-11-18 20:02:00,33344824,4022,151707648,205,738918400,40
08-11-18 20:07:00,33344824,4028,151728128,206,739966976,41
08-11-18 20:12:00,33344824,4022,151683072,204,737869824,42
08-11-18 20:17:00,33344824,4022,151699456,205,738131968,43
