"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WIN-GD2MSP71P5I\.NET CLR Memory(TCPIPCommsService)\# Bytes in all Heaps","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Handle Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Private Bytes","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Thread Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Virtual Bytes"
"10/24/2018 15:37:22.621","0","330","25497600","19","180244480"
"10/24/2018 15:37:32.621","0","330","25497600","19","180244480"
"10/24/2018 15:37:42.621","0","330","25567232","19","180244480"
"10/24/2018 15:37:52.621","0","325","25550848","18","179195904"
"10/24/2018 15:38:02.621","0","325","25550848","18","179195904"
"10/24/2018 15:38:12.636","0","325","25550848","18","179195904"
"10/24/2018 15:38:22.636","0","324","25530368","17","178147328"
"10/24/2018 15:38:32.636","0","324","25530368","17","178147328"
"10/24/2018 15:38:42.636","0","328","24543232","17","178212864"
"10/24/2018 15:38:52.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:02.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:12.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:22.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:32.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:42.636","0","328","24526848","16","177164288"
"10/24/2018 15:39:52.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:02.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:12.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:22.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:32.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:42.636","0","326","24510464","15","176115712"
"10/24/2018 15:40:52.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:02.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:12.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:22.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:32.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:42.636","0","326","24510464","15","176115712"
"10/24/2018 15:41:52.636","0","326","24510464","15","176115712"
"10/24/2018 15:42:02.636","0","326","24510464","15","176115712"
"10/24/2018 15:42:12.636","0","326","24510464","15","176115712"
"10/24/2018 15:42:22.636","0","325","24489984","14","175067136"
"10/24/2018 15:42:32.636","0","325","24489984","14","175067136"
"10/24/2018 15:42:42.636","0","321","23441408","13","174018560"
"10/24/2018 15:42:52.636","0","325","23461888","14","175067136"
"10/24/2018 15:43:02.636","0","325","23461888","14","175067136"
"10/24/2018 15:43:12.636","0","325","23445504","13","174018560"
"10/24/2018 15:43:22.636","0","325","23445504","13","174018560"
"10/24/2018 15:43:32.636","0","325","23445504","13","174018560"
"10/24/2018 15:43:42.636","0","325","23445504","13","174018560"
"10/24/2018 15:43:52.636","0","322","23425024","12","172969984"
"10/24/2018 15:44:02.636","0","322","23425024","12","172969984"
"10/24/2018 15:44:12.636","0","322","23425024","12","172969984"
"10/24/2018 15:44:22.636","0","322","23425024","12","172969984"
"10/24/2018 15:44:32.636","0","322","23425024","12","172969984"
"10/24/2018 15:44:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:44:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:45:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:46:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:47:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:48:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:49:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:50:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:51:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:52:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:53:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:54:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:55:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:56:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:57:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:58:52.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:02.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:12.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:22.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:32.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:42.636","0","322","23490560","12","172969984"
"10/24/2018 15:59:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:42.636","0","322","23490560","12","172969984"
"10/24/2018 16:00:52.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:02.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:12.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:22.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:32.636","0","322","23490560","12","172969984"
"10/24/2018 16:01:42.636","0","322","23490560","12","172969984"
