(PDH-CSV 4.0) (India Standard Time)(-330),\\HYD-GOLCONDA\.NET CLR Memory(NCR.APTRA.CnsmrAppActivateEnterprise)\# Bytes in all Heaps,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Handle Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Private Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Thread Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Virtual Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Working Set - Private
03-01-19 12:31,20699928,4387,334069760,191,1207107584,264876032
03-01-19 12:31,20699928,4397,334372864,191,1207107584,265154560
03-01-19 12:32,20699928,4412,334381056,191,1207107584,265207808
03-01-19 12:32,20699928,4440,334454784,192,1208418304,265240576
03-01-19 12:32,20699928,4469,334581760,194,1211039744,265277440
03-01-19 12:32,20699928,4449,335224832,202,1221525504,265576448
03-01-19 12:32,20879732,4414,334860288,197,1214971904,265424896
03-01-19 12:32,21531816,4405,334880768,197,1214971904,265461760
03-01-19 12:32,21531816,4422,334798848,196,1213661184,265428992
03-01-19 12:32,22046384,4407,333557760,188,1203175424,264503296
03-01-19 12:32,22046384,4458,334376960,195,1212350464,264978432
03-01-19 12:32,22296888,4429,336932864,194,1210253312,267522048
03-01-19 12:32,22782200,4437,342241280,195,1212948480,274223104
03-01-19 12:32,22782200,4460,342249472,195,1212948480,274231296
03-01-19 12:33,20807296,4373,342413312,196,1214259200,275091456
03-01-19 12:33,20807296,4382,342339584,195,1213734912,275058688
03-01-19 12:33,21147832,4390,342548480,195,1213734912,275214336
03-01-19 12:33,21147832,4399,342388736,193,1211113472,275144704
03-01-19 12:33,21147832,4415,342466560,194,1211637760,275181568
03-01-19 12:33,21147832,4412,340934656,184,1199316992,274038784
03-01-19 12:33,20343720,4444,342368256,200,1220550656,274894848
03-01-19 12:33,20343720,4494,342609920,200,1224482816,275263488
03-01-19 12:33,20343720,4510,343035904,201,1225007104,275537920
03-01-19 12:33,20343720,4521,343023616,199,1223172096,276021248
03-01-19 12:33,20343720,4540,343097344,200,1223696384,276054016
03-01-19 12:33,20911292,4501,343502848,205,1227104256,276226048
03-01-19 12:34,20911292,4519,343187456,201,1221861376,276074496
03-01-19 12:34,22247576,4519,344555520,202,1223958528,276578304
03-01-19 12:34,22247576,4563,344887296,207,1229725696,276705280
03-01-19 12:34,22792148,4556,344260608,208,1231036416,276017152
03-01-19 12:34,23022872,4551,344358912,207,1229725696,276127744
03-01-19 12:34,21855376,4503,344637440,207,1230512128,276402176
03-01-19 12:34,22331024,4505,344875008,207,1229848576,276676608
03-01-19 12:34,22331024,4509,344743936,205,1227890688,276635648
03-01-19 12:34,22331024,4511,344170496,198,1217929216,276369408
03-01-19 12:34,22908344,4480,346722304,197,1250566144,278712320
03-01-19 12:34,23967012,4505,348131328,197,1249779712,279298048
03-01-19 12:34,23252968,4519,348045312,197,1249779712,279298048
03-01-19 12:35,23252968,4530,347971584,196,1248468992,279261184
03-01-19 12:35,23252968,4540,347267072,196,1248468992,278573056
03-01-19 12:35,23252968,4547,346775552,188,1237983232,278392832
03-01-19 12:35,23252968,4557,346980352,187,1236672512,278634496
03-01-19 12:35,23252968,4585,347570176,190,1240604672,278999040
03-01-19 12:35,23576952,4531,348024832,192,1243226112,279265280
03-01-19 12:35,23576952,4565,348155904,193,1247682560,279302144
03-01-19 12:35,23576952,4574,348082176,192,1247158272,279273472
03-01-19 12:35,23576952,4591,348418048,189,1242439680,280068096
03-01-19 12:35,24396628,4525,348422144,189,1242439680,280096768
03-01-19 12:35,24085096,4552,348639232,192,1243226112,280240128
03-01-19 12:35,24412088,4566,349093888,192,1243226112,279642112
03-01-19 12:36,24412088,4578,349249536,192,1243226112,279760896
03-01-19 12:36,24412088,4608,349364224,191,1241915392,279982080
03-01-19 12:36,25358112,4641,350175232,199,1252401152,280399872
03-01-19 12:36,25653636,4611,350150656,196,1249255424,280539136
03-01-19 12:36,25515180,4602,350490624,197,1249779712,280784896
03-01-19 12:36,26050096,4598,350564352,198,1251090432,280825856
03-01-19 12:36,26050096,4610,350416896,196,1248468992,280768512
03-01-19 12:36,25830212,4590,350019584,196,1248468992,280489984
03-01-19 12:36,26145592,4589,351490048,196,1247805440,281546752
03-01-19 12:36,27722556,4584,352387072,194,1245184000,281534464
03-01-19 12:36,27619776,4603,352022528,196,1247805440,281030656
03-01-19 12:36,27908480,4622,352088064,195,1246494720,281194496
03-01-19 12:37,27908480,4641,352272384,194,1245970432,281440256
03-01-19 12:37,27908480,4656,352559104,194,1245184000,281714688
03-01-19 12:37,27659136,4676,353423360,202,1255669760,282214400
03-01-19 12:37,27659136,4711,353423360,202,1255669760,282222592
03-01-19 12:37,27659136,4740,353406976,202,1259601920,282288128
03-01-19 12:37,27659136,4751,353132544,199,1254883328,282148864
03-01-19 12:37,27659136,4779,354082816,202,1259601920,282902528
03-01-19 12:37,28572108,4734,354164736,203,1260126208,282955776
03-01-19 12:37,28684628,4749,353345536,203,1257766912,282132480
03-01-19 12:37,30161828,4746,354807808,203,1256980480,282316800
03-01-19 12:37,30161828,4764,355008512,202,1256148992,282554368
03-01-19 12:37,29936592,4736,355557376,207,1261916160,282902528
03-01-19 12:38,29936592,4776,355880960,209,1265324032,283140096
03-01-19 12:38,29959208,4726,355094528,199,1252216832,282824704
03-01-19 12:38,30222836,4737,355106816,199,1252216832,282836992
03-01-19 12:38,30797764,4734,355024896,198,1250119680,282800128
03-01-19 12:38,30797764,4732,356593664,195,1246973952,283422720
03-01-19 12:38,30095140,4712,356270080,196,1247498240,283676672
03-01-19 12:38,20440040,4342,346693632,197,1251164160,279031808
03-01-19 12:38,20440040,4358,345956352,198,1251688448,278245376
03-01-19 12:38,20440040,4389,346169344,198,1252540416,278679552
03-01-19 12:38,20484736,4371,346247168,195,1251033088,278839296
03-01-19 12:38,21083148,4454,346701824,193,1249198080,279162880
03-01-19 12:38,20631088,4343,346800128,195,1251098624,279265280
03-01-19 12:39,20631088,4347,346701824,194,1249787904,279216128
03-01-19 12:39,20859756,4341,346660864,193,1245331456,279220224
03-01-19 12:39,20955220,4350,346660864,193,1245331456,279220224
03-01-19 12:39,20955220,4367,347627520,192,1244020736,279375872
03-01-19 12:39,20955220,4381,347701248,193,1245331456,279408640
03-01-19 12:39,20955220,4385,346288128,185,1234845696,278319104
03-01-19 12:39,20955220,4403,346488832,185,1234845696,278495232
03-01-19 12:39,21667468,4376,347205632,191,1242763264,278765568
03-01-19 12:39,21667468,4388,347504640,191,1242763264,279293952
