(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\NCR-HKL59E0D3TQ\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
01:30.6,31074304,4523,190623744,203,796536832, 
01:45.6,31191056,4470,181170176,203,787140608, 
02:00.5,31363412,4477,181534720,208,796528640, 
02:15.5,31363412,4482,189407232,205,797437952, 
02:30.6,31760376,4531,183275520,205,804114432, 
02:45.6,31567268,4547,226701312,209,843911168, 
03:00.5,31725520,4531,195387392,205,807587840, 
03:15.6,31837620,4590,193171456,212,811560960, 
03:30.5,32477500,4634,193789952,212,811196416, 
03:45.6,33498200,4659,195784704,212,811601920, 
04:00.6,33498200,4677,195788800,212,811610112, 
04:15.5,33498200,4677,195772416,211,811347968, 
04:30.5,33498200,4677,195768320,211,811347968, 
04:45.5,33547604,4674,195399680,209,808464384, 
05:00.6,33547604,4644,185020416,203,801759232, 
05:15.5,33517664,4655,184815616,207,805953536, 
05:30.6,33612516,4686,184926208,210,809099264, 
05:45.6,33683680,4666,216711168,205,828116992, 
06:00.5,33808972,4682,194777088,207,836026368, 
06:15.6,33979348,4737,192958464,210,837410816, 
06:30.6,35459588,4811,197685248,219,846213120, 
06:45.5,35505036,4813,187609088,211,837410816, 
07:00.6,35574348,4830,214384640,215,842534912, 
07:15.5,35707172,4846,196292608,210,839745536, 
07:30.6,35807060,4821,194736128,205,832290816, 
07:45.6,35886028,4873,194068480,208,834002944, 
08:00.5,38812536,4907,203030528,211,856109056, 
08:15.6,38918148,4918,203370496,210,855060480, 
08:30.6,38918148,4918,203792384,210,854274048, 
08:45.6,38918148,4917,203329536,204,848769024, 
09:00.6,38918148,4920,203386880,203,847720448, 
09:15.5,38918148,4918,203657216,205,849031168, 
09:30.6,38918148,4912,203300864,203,847720448, 
09:45.5,38918148,4917,203407360,204,848769024, 
10:00.5,38918148,4918,203681792,206,850079744, 
10:15.6,38918148,4913,203304960,203,847720448, 
10:30.6,39136864,4906,192868352,203,844423168, 
10:45.5,38753528,4923,193163264,205,846516224, 
11:00.6,38753528,4943,230375424,211,855314432, 
11:15.6,38616356,4927,205135872,206,855932928, 
11:30.6,39098780,4947,200482816,205,849362944, 
11:45.6,40159620,5018,202088448,213,858165248, 
12:00.6,39978244,4982,194695168,209,852770816, 
12:15.5,40118404,5043,210137088,213,857501696, 
12:30.6,39876232,5032,206221312,212,862138368, 
12:45.6,39925248,5019,201236480,207,851460096, 
13:00.6,41581424,5091,202891264,217,862359552, 
13:15.6,41581424,5096,206970880,212,857116672, 
13:30.6,41581424,5090,206700544,209,853970944, 
13:45.5,41581424,5095,206671872,210,855019520, 
14:00.5,41581424,5095,206929920,210,855019520, 
14:15.5,41581424,5097,206684160,209,853970944, 
14:30.5,41265880,5045,207015936,209,853184512, 
14:45.6,41265880,5049,206749696,209,853970944, 
15:00.5,41265880,5049,207015936,209,853970944, 
15:15.5,41265880,5047,206999552,208,852922368, 
15:30.6,41265880,5042,206729216,208,852922368, 
15:45.6,41265880,5049,207024128,209,854036480, 
16:00.5,41265880,5050,207048704,210,854298624, 
16:15.5,41265880,5051,207134720,210,855085056, 
16:30.5,41265880,5047,207200256,210,854298624, 
16:45.6,41265880,5052,207233024,211,855347200, 
17:00.6,41470872,5048,207245312,209,854089728, 
17:15.6,41470872,5045,207249408,209,853303296, 
17:30.6,41470872,5041,206950400,207,851992576, 
17:45.6,41470872,5047,207257600,209,853303296, 
18:00.6,41470872,5047,207261696,209,853303296, 
18:15.5,41470872,5044,207237120,207,851992576, 
18:30.5,35186840,4527,199790592,208,853041152, 
18:45.5,35186840,4533,200081408,209,854089728, 
19:00.6,35186840,4534,200097792,210,854351872, 
19:15.6,35186840,4518,199688192,206,850157568, 
19:30.6,35186840,4514,199589888,204,848846848, 
19:45.6,35186840,4519,199663616,205,849895424, 
20:00.6,35186840,4518,199987200,206,850223104, 
20:15.6,35186840,4519,199725056,206,850223104, 
20:30.6,35186840,4515,199974912,205,849174528, 
20:45.6,35186840,4520,199647232,206,849993728, 
21:00.6,35186840,4516,199954432,204,848683008, 
21:15.6,34374404,4516,199704576,205,848945152, 
21:30.6,34374404,4511,199659520,203,847634432, 
21:45.6,34374404,4499,199970816,204,847888384, 
22:00.6,34374404,4516,199979008,204,848683008, 
22:15.6,34374404,4514,199987200,204,847896576, 
22:30.6,34374404,4510,199970816,203,847634432, 
22:45.6,34374404,4530,204779520,204,854188032, 
23:00.5,35205716,4482,208977920,204,850247680, 
23:15.6,35205716,4485,208674816,203,849207296, 
23:30.6,35205716,4490,208965632,204,850255872, 
23:45.6,35205716,4490,208982016,204,850255872, 
24:00.6,35205716,4491,208633856,205,850518016, 
24:15.5,35205716,4483,208666624,202,848158720, 
24:30.5,35205716,4491,209092608,204,850321408, 
24:45.6,35205716,4492,209309696,205,850583552, 
25:00.5,35205716,4492,209178624,205,850583552, 
25:15.6,34333780,4496,209502208,203,850518016, 
25:30.6,34333780,4502,209514496,205,851828736, 
25:45.6,34333780,4499,209235968,203,850518016, 
26:00.6,34333780,4503,209547264,205,851828736, 
26:15.6,34333780,4497,209539072,204,850780160, 
26:30.6,34333780,4502,209543168,204,851566592, 
26:45.5,34333780,4503,209567744,205,851828736, 
27:00.6,34333780,4499,209563648,204,850780160, 
27:15.6,34333780,4491,209522688,202,849534976, 
27:30.6,34333780,4499,209641472,204,850845696, 
27:45.5,34547388,4498,209739776,203,850583552, 
28:00.5,34547388,4498,209764352,203,850583552, 
28:15.5,34547388,4492,209752064,202,848748544, 
28:30.6,34161040,4509,209907712,206,853729280, 
28:45.6,34196152,4519,209772544,208,855695360, 
29:00.6,34196152,4526,209686528,205,851763200, 
