(PDH-CSV 4.0) (India Standard Time)(-330),\\NCR-3M6OJM5HB98\.NET CLR Memory(StartSupv)\# Bytes in all Heaps,\\NCR-3M6OJM5HB98\Process(StartSupv)\Handle Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Private Bytes,\\NCR-3M6OJM5HB98\Process(StartSupv)\Thread Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Virtual Bytes,Byte In All Heaps ( In MB ),Private Bytes ( In MB ),Virual Bytes ( In MB )
08-06-18 19:38,13911360,2970,88420352,128,509947904,13.26690674,84.32421875,486.3242188
08-06-18 19:38,13911360,2975,88440832,129,510996480,13.26690674,84.34375,487.3242188
08-06-18 19:38,13911360,2975,88424448,128,509947904,13.26690674,84.328125,486.3242188
08-06-18 19:38,13911360,2975,88420352,128,509947904,13.26690674,84.32421875,486.3242188
08-06-18 19:39,14460804,3260,116359168,136,557080576,13.79089737,110.96875,531.2734375
08-06-18 19:39,14460804,3273,116412416,137,558129152,13.79089737,111.0195313,532.2734375
08-06-18 19:39,14103032,3340,115630080,139,561340416,13.4496994,110.2734375,535.3359375
08-06-18 19:39,14103032,3344,115671040,140,562388992,13.4496994,110.3125,536.3359375
08-06-18 19:40,14103032,3346,115658752,138,560603136,13.4496994,110.3007813,534.6328125
08-06-18 19:40,14103032,3351,115679232,139,561651712,13.4496994,110.3203125,535.6328125
08-06-18 19:40,14103032,3347,115654656,138,560603136,13.4496994,110.296875,534.6328125
08-06-18 19:40,14103032,3346,115654656,138,560603136,13.4496994,110.296875,534.6328125
08-06-18 19:41,13801212,3351,116236288,140,562831360,13.16186142,110.8515625,536.7578125
08-06-18 19:41,13801212,3353,116244480,140,562831360,13.16186142,110.859375,536.7578125
08-06-18 19:41,13801212,3342,116183040,138,560734208,13.16186142,110.8007813,534.7578125
08-06-18 19:41,13801212,3342,116178944,138,560734208,13.16186142,110.796875,534.7578125
08-06-18 19:42,13801212,3338,116154368,137,559685632,13.16186142,110.7734375,533.7578125
08-06-18 19:42,13853544,3357,116641792,140,563052544,13.2117691,111.2382813,536.96875
08-06-18 19:42,13883560,3366,117141504,140,569286656,13.24039459,111.7148438,542.9140625
08-06-18 19:42,13883560,3363,117125120,139,568238080,13.24039459,111.6992188,541.9140625
08-06-18 19:43,13883560,3350,117080064,137,566140928,13.24039459,111.65625,539.9140625
08-06-18 19:43,13922784,3380,117239808,141,570335232,13.27780151,111.8085938,543.9140625
08-06-18 19:43,13922784,3385,117227520,141,570105856,13.27780151,111.796875,543.6953125
08-06-18 19:43,13922784,3377,117186560,139,568008704,13.27780151,111.7578125,541.6953125
08-06-18 19:44,13922784,3364,117129216,136,564862976,13.27780151,111.703125,538.6953125
08-06-18 19:44,13922784,3367,117116928,135,563814400,13.27780151,111.6914063,537.6953125
08-06-18 19:44,13799068,3340,117862400,134,562765824,13.15981674,112.4023438,536.6953125
08-06-18 19:44,13799068,3359,117968896,138,566960128,13.15981674,112.5039063,540.6953125
08-06-18 19:45,13799068,3346,117919744,136,564862976,13.15981674,112.4570313,538.6953125
08-06-18 19:45,13799068,3350,117936128,137,565911552,13.15981674,112.4726563,539.6953125
08-06-18 19:45,13799068,3350,117932032,137,565911552,13.15981674,112.46875,539.6953125
08-06-18 19:45,13826492,3359,118034432,139,568008704,13.18597031,112.5664063,541.6953125
08-06-18 19:46,13864916,3356,118099968,138,566960128,13.22261429,112.6289063,540.6953125
08-06-18 19:46,13942856,3364,118120448,139,568008704,13.29694366,112.6484375,541.6953125
08-06-18 19:46,13796560,3367,118145024,140,569057280,13.15742493,112.671875,542.6953125
08-06-18 19:46,13796560,3363,118095872,138,566960128,13.15742493,112.625,540.6953125
08-06-18 19:47,13796560,3359,118075392,137,565911552,13.15742493,112.6054688,539.6953125
08-06-18 19:47,13796560,3361,118075392,137,565911552,13.15742493,112.6054688,539.6953125
08-06-18 19:47,13796560,3359,118059008,136,564862976,13.15742493,112.5898438,538.6953125
08-06-18 19:47,13846868,3377,118149120,140,569057280,13.20540237,112.6757813,542.6953125
08-06-18 19:48,13846868,3367,118095872,137,565911552,13.20540237,112.625,539.6953125
08-06-18 19:48,13846868,3361,118071296,137,565911552,13.20540237,112.6015625,539.6953125
08-06-18 19:48,13846868,3361,118059008,137,565862400,13.20540237,112.5898438,539.6484375
08-06-18 19:48,13846868,3362,118059008,137,565862400,13.20540237,112.5898438,539.6484375
08-06-18 19:49,13893720,3365,118124544,138,566910976,13.25008392,112.6523438,540.6484375
08-06-18 19:49,13795656,3367,118239232,139,567959552,13.15656281,112.7617188,541.6484375
08-06-18 19:49,13846288,3373,118243328,139,567959552,13.20484924,112.765625,541.6484375
08-06-18 19:49,13846288,3365,118198272,137,565862400,13.20484924,112.7226563,539.6484375
08-06-18 19:50,13846288,3357,118181888,136,564813824,13.20484924,112.7070313,538.6484375
08-06-18 19:50,13846288,3360,118181888,136,564813824,13.20484924,112.7070313,538.6484375
08-06-18 19:50,13846288,3360,118177792,136,564813824,13.20484924,112.703125,538.6484375
08-06-18 19:50,13846288,3360,118177792,136,564813824,13.20484924,112.703125,538.6484375
08-06-18 19:51,13846288,3355,118161408,135,563765248,13.20484924,112.6875,537.6484375
08-06-18 19:51,13846288,3357,118157312,135,563765248,13.20484924,112.6835938,537.6484375
08-06-18 19:51,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:51,14541848,3332,118165504,135,563765248,13.86818695,112.6914063,537.6484375
08-06-18 19:52,14541848,3327,118140928,134,562716672,13.86818695,112.6679688,536.6484375
08-06-18 19:52,14541848,3329,118145024,134,562716672,13.86818695,112.671875,536.6484375
08-06-18 19:52,14541848,3331,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:52,14541848,3331,118157312,135,563765248,13.86818695,112.6835938,537.6484375
08-06-18 19:53,14541848,3328,118140928,134,562716672,13.86818695,112.6679688,536.6484375
08-06-18 19:53,14541848,3333,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:53,14541848,3331,118145024,134,562716672,13.86818695,112.671875,536.6484375
08-06-18 19:53,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:54,14541848,3327,118140928,134,562716672,13.86818695,112.6679688,536.6484375
08-06-18 19:54,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:54,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:54,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:55,14541848,3327,118140928,134,562716672,13.86818695,112.6679688,536.6484375
08-06-18 19:55,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:55,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:55,14541848,3332,118161408,135,563765248,13.86818695,112.6875,537.6484375
08-06-18 19:56,14541848,3327,118140928,134,562716672,13.86818695,112.6679688,536.6484375
08-06-18 19:56,14664964,3330,126980096,134,581918720,13.98559952,121.0976563,554.9609375
08-06-18 19:56,14664964,3330,126980096,134,581918720,13.98559952,121.0976563,554.9609375
08-06-18 19:56,14664964,3330,126980096,134,581918720,13.98559952,121.0976563,554.9609375
08-06-18 19:57,14664964,3327,126976000,134,581918720,13.98559952,121.09375,554.9609375
08-06-18 19:57,14560848,3361,127078400,139,587685888,13.88630676,121.1914063,560.4609375
08-06-18 19:57,14560848,3366,127078400,139,587685888,13.88630676,121.1914063,560.4609375
08-06-18 19:57,14560848,3358,127037440,137,585588736,13.88630676,121.1523438,558.4609375
08-06-18 19:58,14560848,3350,127000576,135,583491584,13.88630676,121.1171875,556.4609375
08-06-18 19:58,14560848,3353,127000576,135,583491584,13.88630676,121.1171875,556.4609375
08-06-18 19:58,14560124,3338,126926848,135,583491584,13.8856163,121.046875,556.4609375
08-06-18 19:58,14560124,3356,127000576,138,586637312,13.8856163,121.1171875,559.4609375
08-06-18 19:59,14560124,3343,126951424,136,584540160,13.8856163,121.0703125,557.4609375
08-06-18 19:59,14560124,3347,126967808,137,585588736,13.8856163,121.0859375,558.4609375
08-06-18 19:59,14560124,3347,126967808,137,585588736,13.8856163,121.0859375,558.4609375
08-06-18 19:59,14555808,3343,126537728,137,585588736,13.88150024,120.6757813,558.4609375
08-06-18 20:00,14553692,3351,126423040,138,586637312,13.87948227,120.5664063,559.4609375
08-06-18 20:00,14557192,3356,126439424,139,587685888,13.88282013,120.5820313,560.4609375
08-06-18 20:00,14575508,3361,126439424,139,587685888,13.90028763,120.5820313,560.4609375
08-06-18 20:00,14561124,3377,126455808,140,588734464,13.88656998,120.5976563,561.4609375
08-06-18 20:01,14561124,3369,126386176,137,585588736,13.88656998,120.53125,558.4609375
08-06-18 20:01,14561124,3374,126406656,138,586637312,13.88656998,120.5507813,559.4609375
08-06-18 20:01,14561124,3369,126365696,136,584540160,13.88656998,120.5117188,557.4609375
08-06-18 20:01,14561124,3369,126365696,136,584540160,13.88656998,120.5117188,557.4609375
08-06-18 20:02,14559900,3358,126423040,138,585850880,13.88540268,120.5664063,558.7109375
