Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
0,2018-09-24T06:17:01.110,0,0,0,0,0
1,2018-09-24T06:24:01.547,1483358000,658128900,95946960,5345,250
2,2018-09-24T06:24:58.153,1533805000,686452700,97306960,5456,254
3,2018-09-24T06:26:03.101,1549181000,701218800,99128800,5583,258
4,2018-09-24T06:26:30.111,1561960000,703610900,100629600,5655,264
5,2018-09-24T06:27:26.806,1582150000,745336800,102324800,5795,268
6,2018-09-24T06:28:25.607,1627238000,775516200,103778700,5957,277
7,2018-09-24T06:29:25.593,1578590000,700379100,96519930,5290,256
8,2018-09-24T06:30:25.774,1601593000,724897800,96221890,5471,265
9,2018-09-24T06:31:20.298,1623867000,755191800,98786350,5648,274
10,2018-09-24T06:32:16.801,1662312000,772976600,99222510,5725,274
11,2018-09-24T06:33:12.361,1686692000,803749900,101108300,5923,285
12,2018-09-24T06:34:12.188,1692500000,826236900,103053900,5989,285
13,2018-09-24T06:35:09.011,1730482000,851157000,103909000,6162,293
14,2018-09-24T06:36:12.655,1639272000,718098400,96550750,5325,257
15,2018-09-24T06:37:25.743,1642770000,724668400,96873550,5400,254
16,2018-09-24T06:38:33.434,1666011000,753246200,99211580,5584,262
17,2018-09-24T06:39:57.011,1672212000,770977800,99296250,5674,263
18,2018-09-24T06:40:54.129,1698615000,798105600,101227600,5846,275
19,2018-09-24T06:41:52.238,1702498000,817168400,103150900,5929,273
20,2018-09-24T06:42:53.518,1660203000,732266500,96224690,5406,265
21,2018-09-24T06:43:48.494,1662079000,744611800,97001810,5477,262
22,2018-09-24T06:45:02.407,1666757000,757420000,99089280,5562,261
23,2018-09-24T06:46:12.837,1694667000,782839800,100053100,5786,275
24,2018-09-24T06:47:09.515,1702580000,798408700,101694600,5861,277
25,2018-09-24T06:48:07.198,1723789000,832172000,103427600,6043,284
26,2018-09-24T06:51:09.112,1658171000,735117300,97097020,5359,262
27,2018-09-24T06:52:05.436,1664864000,748793900,97435300,5454,263
28,2018-09-24T06:53:02.220,1723585000,781209600,101398800,5592,274
29,2018-09-24T06:54:00.513,1725813000,784842800,103989700,5662,274
30,2018-09-24T06:54:54.672,1724887000,784379900,104629400,5659,275
31,2018-09-24T06:55:48.812,1730892000,791461900,106130000,5702,274
